x-axis,FFT
Hertz,dBV
1.66E+04,-29.98
1.66E+04,-34.83
1.67E+04,-25.54
1.68E+04,-40.94
1.68E+04,-25.83
1.69E+04,-34.66
1.69E+04,-29.05
1.70E+04,-40.29
1.71E+04,-33.91
1.71E+04,-32.80
1.72E+04,-34.25
1.73E+04,-26.89
1.73E+04,-31.71
1.74E+04,-36.26
1.74E+04,-39.85
1.75E+04,-30.55
1.76E+04,-31.76
1.76E+04,-45.20
1.77E+04,-52.52
1.78E+04,-42.70
1.78E+04,-33.47
1.79E+04,-31.26
1.79E+04,-31.83
1.80E+04,-25.42
1.81E+04,-33.34
1.81E+04,-22.91
1.82E+04,-37.49
1.83E+04,-29.52
1.83E+04,-28.06
1.84E+04,-32.31
1.84E+04,-32.16
1.85E+04,-33.43
1.86E+04,-26.79
1.86E+04,-29.04
1.87E+04,-28.99
1.88E+04,-38.79
1.88E+04,-38.00
1.89E+04,-50.19
1.89E+04,-30.54
1.90E+04,-39.94
1.91E+04,-37.66
1.91E+04,-31.43
1.92E+04,-36.32
1.93E+04,-37.09
1.93E+04,-34.64
1.94E+04,-34.79
1.94E+04,-33.59
1.95E+04,-47.07
1.96E+04,-33.67
1.96E+04,-35.39
1.97E+04,-29.00
1.98E+04,-33.55
1.98E+04,-43.36
1.99E+04,-12.49
1.99E+04,-45.50
2.00E+04,-23.62
2.01E+04,-40.38
2.01E+04,-20.85
2.02E+04,-36.20
2.03E+04,-30.32
2.03E+04,-22.60
2.04E+04,-30.97
2.04E+04,-22.47
2.05E+04,-33.34
2.06E+04,-42.69
2.06E+04,-53.28
2.07E+04,-25.33
2.08E+04,-37.48
2.08E+04,-32.75
2.09E+04,-34.37
2.09E+04,-28.83
2.10E+04,-34.23
2.11E+04,-31.64
2.11E+04,-38.94
2.12E+04,-28.22
2.13E+04,-37.57
2.13E+04,-30.53
2.14E+04,-32.60
2.14E+04,-32.17
2.15E+04,-34.23
2.16E+04,-26.57
2.16E+04,-36.00
2.17E+04,-41.71
2.18E+04,-27.96
2.18E+04,-33.77
2.19E+04,-33.67
2.19E+04,-28.81
2.20E+04,-38.63
2.21E+04,-29.05
2.21E+04,-36.39
2.22E+04,-44.18
2.23E+04,-28.25
2.23E+04,-36.92
2.24E+04,-31.94
2.24E+04,-27.39
2.25E+04,-38.18
2.26E+04,-36.88
2.26E+04,-31.99
2.27E+04,-31.16
2.28E+04,-31.37
2.28E+04,-30.91
2.29E+04,-34.13
2.29E+04,-36.19
2.30E+04,-33.78
2.31E+04,-22.88
2.31E+04,-33.86
2.32E+04,-35.62
2.33E+04,-30.28
2.33E+04,-34.87
2.34E+04,-32.56
2.34E+04,-43.39
2.35E+04,-24.60
2.36E+04,-29.34
2.36E+04,-23.25
2.37E+04,-31.09
2.38E+04,-33.45
2.38E+04,-34.54
2.39E+04,-31.59
2.39E+04,-41.21
2.40E+04,-47.78
2.41E+04,-30.19
2.41E+04,-34.28
2.42E+04,-36.84
2.43E+04,-33.95
2.43E+04,-31.52
2.44E+04,-28.03
2.44E+04,-34.23
2.45E+04,-42.26
2.46E+04,-43.67
2.46E+04,-40.97
2.47E+04,-32.15
2.48E+04,-34.81
2.48E+04,-38.55
2.49E+04,-32.10
2.49E+04,-32.11
2.50E+04,-35.85
2.51E+04,-34.20
2.51E+04,-31.02
2.52E+04,-34.45
2.53E+04,-28.22
2.53E+04,-41.39
2.54E+04,-49.21
2.54E+04,-35.92
2.55E+04,-39.22
2.56E+04,-37.00
2.56E+04,-42.59
2.57E+04,-28.52
2.58E+04,-43.14
2.58E+04,-37.36
2.59E+04,-36.25
2.59E+04,-36.49
2.60E+04,-37.92
2.61E+04,-33.18
2.61E+04,-40.78
2.62E+04,-31.36
2.63E+04,-29.43
2.63E+04,-39.93
2.64E+04,-29.38
2.64E+04,-36.94
2.65E+04,-40.72
2.66E+04,-38.18
2.66E+04,-48.67
2.67E+04,-29.72
2.68E+04,-34.19
2.68E+04,-26.23
2.69E+04,-42.37
2.69E+04,-37.15
2.70E+04,-35.96
2.71E+04,-38.94
2.71E+04,-36.92
2.72E+04,-36.72
2.73E+04,-23.34
2.73E+04,-35.37
2.74E+04,-28.41
2.74E+04,-46.36
2.75E+04,-30.91
2.76E+04,-42.47
2.76E+04,-38.81
2.77E+04,-38.28
2.78E+04,-31.74
2.78E+04,-36.22
2.79E+04,-36.94
2.79E+04,-35.10
2.80E+04,-32.14
2.81E+04,-37.12
2.81E+04,-31.82
2.82E+04,-39.31
2.83E+04,-40.54
2.83E+04,-30.07
2.84E+04,-34.39
2.84E+04,-25.50
2.85E+04,-42.87
2.86E+04,-37.08
2.86E+04,-34.72
2.87E+04,-38.31
2.88E+04,-31.34
2.88E+04,-42.29
2.89E+04,-38.23
2.89E+04,-42.69
2.90E+04,-35.17
2.91E+04,-34.49
2.91E+04,-39.05
2.92E+04,-35.55
2.93E+04,-34.20
2.93E+04,-35.72
2.94E+04,-39.23
2.94E+04,-30.20
2.95E+04,-39.40
2.96E+04,-40.53
2.96E+04,-29.84
2.97E+04,-34.39
2.98E+04,-34.61
2.98E+04,-37.55
2.99E+04,-17.44
2.99E+04,-28.30
3.00E+04,-18.57
3.01E+04,-29.60
3.01E+04,-32.05
3.02E+04,-27.95
3.03E+04,-42.19
3.03E+04,-32.72
3.04E+04,-37.20
3.04E+04,-24.19
3.05E+04,-31.89
3.06E+04,-33.74
3.06E+04,-34.43
3.07E+04,-38.89
3.08E+04,-31.40
3.08E+04,-34.10
3.09E+04,-32.71
3.09E+04,-35.29
3.10E+04,-42.93
3.11E+04,-24.91
3.11E+04,-39.16
3.12E+04,-29.50
3.13E+04,-30.35
3.13E+04,-29.49
3.14E+04,-41.12
3.14E+04,-34.87
3.15E+04,-28.73
3.16E+04,-37.67
3.16E+04,-25.48
3.17E+04,-31.27
3.18E+04,-32.86
3.18E+04,-34.11
3.19E+04,-29.27
3.19E+04,-32.51
3.20E+04,-27.90
3.21E+04,-28.07
3.21E+04,-30.78
3.22E+04,-33.42
3.23E+04,-34.60
3.23E+04,-34.50
3.24E+04,-37.18
3.24E+04,-38.84
3.25E+04,-35.19
3.26E+04,-45.57
3.26E+04,-31.85
3.27E+04,-40.09
3.28E+04,-40.31
3.28E+04,-37.08
3.29E+04,-41.29
3.29E+04,-37.56
3.30E+04,-35.43
3.31E+04,-26.93
